IDTimbratura_Timb,Tag_Timb,CodDip_Timb,TimeIn_Timb,TimeOut_Timb,OraIn_Timb,MinIn_Timb,OraInRic_Timb,MinInRic_Timb,OraOut_Timb,MinOut_Timb,OraOutRic_Timb,MinOutRic_Timb,OreLav_Timb,MinLav_Timb,Export_Timb,Omessa_Timb,InserMan_Timb,Validata_Timb,BollatriceNum_Timb
2055,d4531d04,1008,2024-07-15 08:03:36,,8.0,3.0,8,0,,,0,0,0.0,0,False,False,False,False,1
2047,d4531d04,1008,2024-07-12 08:04:20,2024-07-12 17:05:40,8.0,4.0,8,0,17.0,5.0,17,0,8.0,0,False,False,False,True,1
2038,d4531d04,1008,2024-07-11 08:16:49,2024-07-11 18:00:25,8.0,16.0,8,30,18.0,0.0,18,0,8.5,0,False,False,False,True,1
2031,d4531d04,1008,2024-07-10 08:15:46,2024-07-10 17:49:51,8.0,15.0,8,30,17.0,49.0,17,30,8.0,0,False,False,False,True,1
2024,d4531d04,1008,2024-07-09 08:26:18,2024-07-09 17:39:42,8.0,26.0,8,30,17.0,39.0,17,30,8.0,0,False,False,False,True,1
2007,d4531d04,1008,2024-07-05 08:19:02,2024-07-05 17:33:50,8.0,19.0,8,30,17.0,33.0,17,30,8.0,0,False,False,False,True,1
2002,d4531d04,1008,2024-07-04 08:26:54,2024-07-04 18:00:19,8.0,26.0,8,30,18.0,0.0,18,0,8.5,0,False,False,False,True,1
1995,d4531d04,1008,2024-07-03 08:24:08,2024-07-03 18:13:15,8.0,24.0,8,30,18.0,13.0,18,0,8.5,0,False,False,False,True,1
1989,d4531d04,1008,2024-07-02 08:25:00,2024-07-02 17:34:56,8.0,25.0,8,30,17.0,34.0,17,30,8.0,0,False,False,False,True,1
1982,d4531d04,1008,2024-07-01 08:21:13,2024-07-01 17:33:51,8.0,21.0,8,30,17.0,33.0,17,30,8.0,0,False,False,False,True,1
1973,d4531d04,1008,2024-06-28 08:23:43,2024-06-28 18:44:27,8.0,23.0,8,30,18.0,44.0,18,30,9.0,0,False,False,False,True,1
1968,d4531d04,1008,2024-06-27 07:26:35,2024-06-27 18:57:38,7.0,26.0,7,30,18.0,57.0,18,30,10.0,0,False,False,False,True,1
1959,d4531d04,1008,2024-06-26 07:22:30,2024-06-26 18:33:31,7.0,22.0,7,30,18.0,33.0,18,30,10.0,0,False,False,False,True,1
1954,d4531d04,1008,2024-06-25 08:20:51,2024-06-25 17:47:04,8.0,20.0,8,30,17.0,47.0,17,30,8.0,0,False,False,False,True,1
1943,d4531d04,1008,2024-06-24 07:20:09,2024-06-24 16:44:00,7.0,20.0,7,30,16.0,44.0,16,30,8.0,0,False,False,False,True,1
1942,d4531d04,1008,2024-06-21 08:18:52,2024-06-21 13:35:40,8.0,18.0,8,30,13.0,35.0,13,30,4.0,0,False,False,False,True,1
1931,d4531d04,1008,2024-06-20 07:23:53,2024-06-20 17:03:42,7.0,23.0,7,30,17.0,3.0,17,0,8.5,0,False,False,False,True,1
1928,d4531d04,1008,2024-06-19 08:17:00,2024-06-19 17:36:48,8.0,17.0,8,30,17.0,36.0,17,30,8.0,0,False,False,False,True,1
1921,d4531d04,1008,2024-06-18 08:16:05,2024-06-18 18:30:11,8.0,16.0,8,30,18.0,30.0,18,30,9.0,0,False,False,False,True,1
1914,d4531d04,1008,2024-06-17 08:30:36,2024-06-17 17:36:21,8.0,30.0,8,30,17.0,36.0,17,30,8.0,0,False,False,False,True,1
1907,d4531d04,1008,2024-06-14 08:14:31,2024-06-14 17:40:56,8.0,14.0,8,30,17.0,40.0,17,30,8.0,0,False,False,False,True,1
1900,d4531d04,1008,2024-06-13 07:28:32,2024-06-13 18:04:09,7.0,28.0,7,30,18.0,4.0,18,0,9.5,0,False,False,False,True,1
1894,d4531d04,1008,2024-06-12 08:00:37,2024-06-12 17:11:14,8.0,0.0,8,0,17.0,11.0,17,0,8.0,0,False,False,False,True,1
1887,d4531d04,1008,2024-06-11 08:22:17,2024-06-11 17:33:32,8.0,22.0,8,30,17.0,33.0,17,30,8.0,0,False,False,False,True,1
1880,d4531d04,1008,2024-06-10 07:34:48,2024-06-10 16:38:20,7.0,34.0,7,30,16.0,38.0,16,30,8.0,0,False,False,False,True,1
1873,d4531d04,1008,2024-06-07 08:19:52,2024-06-07 17:40:51,8.0,19.0,8,30,17.0,40.0,17,30,8.0,0,False,False,False,True,1
1865,d4531d04,1008,2024-06-06 08:27:29,2024-06-06 17:42:09,8.0,27.0,8,30,17.0,42.0,17,30,8.0,0,False,False,False,True,1
1858,d4531d04,1008,2024-06-05 08:24:09,2024-06-05 17:38:02,8.0,24.0,8,30,17.0,38.0,17,30,8.0,0,False,False,False,True,1
1850,d4531d04,1008,2024-06-04 08:13:02,2024-06-04 12:31:18,8.0,13.0,8,30,12.0,31.0,12,30,4.0,0,False,False,False,True,1
1843,d4531d04,1008,2024-06-03 08:32:45,2024-06-03 17:36:41,8.0,32.0,8,30,17.0,36.0,17,30,8.0,0,False,False,False,True,1
1834,d4531d04,1008,2024-05-31 08:26:08,2024-05-31 17:35:44,8.0,26.0,8,30,17.0,35.0,17,30,8.0,0,False,False,False,True,1
1820,d4531d04,1008,2024-05-30 07:12:37,2024-05-30 17:45:35,7.0,12.0,7,30,17.0,45.0,17,30,9.0,0,False,False,False,True,1
1819,d4531d04,1008,2024-05-29 08:26:15,2024-05-29 17:30:18,8.0,26.0,8,30,17.0,30.0,17,30,8.0,0,False,False,False,True,1
1810,d4531d04,1008,2024-05-28 08:18:44,2024-05-28 17:42:43,8.0,18.0,8,30,17.0,42.0,17,30,8.0,0,False,False,False,True,1
1802,d4531d04,1008,2024-05-27 08:28:02,2024-05-27 17:41:15,8.0,28.0,8,30,17.0,41.0,17,30,8.0,0,False,False,False,True,1
1794,d4531d04,1008,2024-05-24 08:15:53,2024-05-24 17:33:12,8.0,15.0,8,30,17.0,33.0,17,30,8.0,0,False,False,False,True,1
1788,d4531d04,1008,2024-05-23 08:19:40,,8.0,19.0,8,30,,,0,0,0.0,0,False,True,False,True,1
1772,d4531d04,1008,2024-05-21 08:18:36,2024-05-21 17:30:09,8.0,18.0,8,30,17.0,30.0,17,30,8.0,0,False,False,False,True,1
1764,d4531d04,1008,2024-05-20 08:26:00,2024-05-20 17:46:17,8.0,26.0,8,30,17.0,46.0,17,30,8.0,0,False,False,False,True,1
1756,d4531d04,1008,2024-05-17 08:17:49,2024-05-17 17:40:03,8.0,17.0,8,30,17.0,40.0,17,30,8.0,0,False,False,False,True,1
1749,d4531d04,1008,2024-05-16 08:23:38,2024-05-16 17:39:59,8.0,23.0,8,30,17.0,39.0,17,30,8.0,0,False,False,False,True,1
1741,d4531d04,1008,2024-05-15 08:16:39,2024-05-15 17:37:17,8.0,16.0,8,30,17.0,37.0,17,30,8.0,0,False,False,False,True,1
1731,d4531d04,1008,2024-05-14 08:25:51,2024-05-14 17:38:07,8.0,25.0,8,30,17.0,38.0,17,30,8.0,0,False,False,False,True,1
1723,d4531d04,1008,2024-05-13 08:26:28,2024-05-13 17:37:32,8.0,26.0,8,30,17.0,37.0,17,30,8.0,0,False,False,False,True,1
1713,d4531d04,1008,2024-05-10 08:34:48,2024-05-10 17:50:33,8.0,34.0,8,30,17.0,50.0,17,30,8.0,0,False,False,False,True,1
1662,d4531d04,1008,2024-05-02 08:34:55,,8.0,34.0,8,30,,,0,0,0.0,0,False,True,False,True,1
1653,d4531d04,1008,2024-04-30 08:09:43,2024-04-30 17:31:21,8.0,9.0,8,30,17.0,31.0,17,30,8.0,0,False,False,False,True,1
1642,d4531d04,1008,2024-04-29 08:29:35,2024-04-29 18:33:39,8.0,29.0,8,30,18.0,33.0,18,30,9.0,0,False,False,False,True,1
1603,d4531d04,1008,2024-04-19 08:34:50,2024-04-19 17:32:18,8.0,34.0,8,30,17.0,32.0,17,30,8.0,0,False,False,False,True,1
1593,d4531d04,1008,2024-04-18 08:28:02,2024-04-18 17:36:00,8.0,28.0,8,30,17.0,36.0,17,30,8.0,0,False,False,False,True,1
1583,d4531d04,1008,2024-04-17 13:29:32,2024-04-17 17:37:23,13.0,29.0,13,30,17.0,37.0,17,30,3.0,0,False,False,False,True,1
1574,d4531d04,1008,2024-04-16 07:37:07,2024-04-16 17:09:14,7.0,37.0,8,0,17.0,9.0,17,0,8.0,0,False,False,False,True,2
1573,d4531d04,1008,2024-04-15 08:49:23,2024-04-15 17:56:08,8.0,49.0,9,0,17.0,56.0,17,30,7.5,0,False,False,False,True,2
1561,d4531d04,1008,2024-04-12 08:24:08,2024-04-12 17:30:31,8.0,24.0,8,30,17.0,30.0,17,30,8.0,0,False,False,False,True,2
1560,d4531d04,1008,2024-04-11 08:32:53,2024-04-11 17:37:43,8.0,32.0,8,30,17.0,37.0,17,30,8.0,0,False,False,False,True,2
1559,d4531d04,1008,2024-04-10 07:26:16,2024-04-10 16:51:36,7.0,26.0,7,30,16.0,51.0,16,30,8.0,0,False,False,False,True,2
1541,d4531d04,1008,2024-04-09 08:20:11,2024-04-09 18:05:56,8.0,20.0,8,30,18.0,5.0,18,0,8.5,0,False,False,False,True,2
1528,d4531d04,1008,2024-04-08 08:29:48,2024-04-08 17:30:32,8.0,29.0,8,30,17.0,30.0,17,30,8.0,0,False,False,False,True,1
1519,d4531d04,1008,2024-04-05 08:31:00,2024-04-05 17:38:44,8.0,31.0,8,30,17.0,38.0,17,30,8.0,0,False,False,False,True,1
1503,d4531d04,1008,2024-04-03 08:40:40,2024-04-03 17:43:04,8.0,40.0,8,30,17.0,43.0,17,30,8.0,0,False,False,False,True,1
1476,d4531d04,1008,2024-03-27 08:42:22,2024-03-27 17:36:13,8.0,42.0,8,30,17.0,36.0,17,30,8.0,0,False,False,False,True,1
1447,d4531d04,1008,2024-03-26 08:38:57,2024-03-26 17:37:51,8.0,38.0,8,30,17.0,37.0,17,30,8.0,0,False,False,False,True,1
1433,d4531d04,1008,2024-03-25 08:35:01,2024-03-25 17:44:27,8.0,35.0,8,30,17.0,44.0,17,30,8.0,0,False,False,False,True,1
1420,d4531d04,1008,2024-03-22 07:32:29,2024-03-22 16:58:20,7.0,32.0,7,30,16.0,58.0,17,0,8.5,0,False,False,False,True,1
1394,d4531d04,1008,2024-03-12 16:52:34,2024-03-12 16:52:46,16.0,52.0,17,0,16.0,52.0,17,0,-1.0,0,False,False,False,True,2
1286,d4531d04,1008,2024-03-11 08:34:39,2024-03-11 17:42:28,8.0,34.0,8,30,17.0,42.0,17,30,8.0,0,False,False,False,True,1
1280,d4531d04,1008,2024-03-08 08:30:12,2024-03-08 17:30:45,8.0,30.0,8,30,17.0,30.0,17,30,8.0,0,False,False,False,True,1
1186,d4531d04,1008,2024-02-26 08:38:49,2024-02-26 17:48:26,8.0,38.0,8,30,17.0,48.0,18,0,8.5,0,False,False,False,True,1
692,d4531d04,1008,2023-12-07 08:50:32,2023-12-07 17:56:33,8.0,50.0,9,0,17.0,56.0,18,0,8.0,0,False,False,False,True,1
689,d4531d04,1008,2023-12-06 08:27:58,2023-12-06 18:07:09,8.0,27.0,8,30,18.0,7.0,18,0,8.5,0,False,False,False,True,1
687,d4531d04,1008,2023-12-05 08:29:56,2023-12-05 17:42:44,8.0,29.0,8,30,17.0,42.0,17,30,8.0,0,False,False,False,True,1
661,d4531d04,1008,2023-12-04 08:35:35,2023-12-04 18:43:40,8.0,35.0,8,30,18.0,43.0,18,30,9.0,0,False,False,False,True,1
657,d4531d04,1008,2023-12-01 08:23:39,2023-12-01 17:31:31,8.0,23.0,8,30,17.0,31.0,17,30,8.0,0,False,False,False,True,1
653,d4531d04,1008,2023-11-30 08:23:01,2023-11-30 15:11:05,8.0,23.0,8,30,15.0,11.0,15,0,5.5,0,False,False,False,True,2
625,d4531d04,1008,2023-11-29 08:24:13,2023-11-29 17:54:28,8.0,24.0,8,30,17.0,54.0,18,0,8.5,0,False,False,False,True,1
614,d4531d04,1008,2023-11-28 08:23:29,2023-11-28 17:36:54,8.0,23.0,8,30,17.0,36.0,17,30,8.0,0,False,False,False,True,1
611,d4531d04,1008,2023-11-27 08:23:55,2023-11-27 17:37:09,8.0,23.0,8,30,17.0,37.0,17,30,8.0,0,False,False,False,True,1
1176,d4531d04,1008,2024-02-22 08:38:33,2024-02-22 18:49:14,8.0,38.0,8,30,18.0,49.0,19,0,9.5,0,False,False,False,True,1
1170,d4531d04,1008,2024-02-21 08:38:31,2024-02-21 18:35:06,8.0,38.0,8,30,18.0,35.0,18,30,9.0,0,False,False,False,True,1
1166,d4531d04,1008,2024-02-20 08:39:53,2024-02-20 18:19:35,8.0,39.0,8,30,18.0,19.0,18,30,9.0,0,False,False,False,True,1
1137,d4531d04,1008,2024-02-19 08:38:54,2024-02-19 18:06:15,8.0,38.0,8,30,18.0,6.0,18,0,8.5,0,False,False,False,True,1
1132,d4531d04,1008,2024-02-16 08:30:11,2024-02-16 18:02:50,8.0,30.0,8,30,18.0,2.0,18,0,8.5,0,False,False,False,True,1
578,d4531d04,1008,2023-11-24 08:28:57,2023-11-24 18:15:22,8.0,28.0,8,30,18.0,15.0,18,30,9.0,0,False,False,False,True,1
573,d4531d04,1008,2023-11-23 08:17:38,2023-11-23 17:28:02,8.0,17.0,8,30,17.0,28.0,17,30,8.0,0,False,False,False,True,1
